author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Kraemer, Don",1990,No exit: A play of literacy and gender,JAC: Journal of Advanced Composition,10,2,305-320,305,320,,,,"gender, literacy, response, assessment, exit-exam, text-analysis, gender-difference, cooperative, confrontational, gender-neutral",,"*JAC: Journal of Advanced Composition 10.2*, 305-320"
"Cayton, Mary Kupiec",1990,What happens when things go wrong: Women and writing blocks,JAC: Journal of Advanced Composition,10,2,321-338,321,338,,,,"gender-difference, block, authority, empowerment, strategy, personal, voice, audience, Belenky, Gilligan, writing-log, secondary-sources",,"*JAC: Journal of Advanced Composition 10.2*, 321-338"
"Bishop, Wendy",1990,Learning our own ways to situate composition and feminist studies in the English department,JAC: Journal of Advanced Composition,10,2,339-356,339,356,,,,"department, feminism, disciplinary, critique, collegiality, women's-studies, graduate, faculty-mentor",,"*JAC: Journal of Advanced Composition 10.2*, 339-356"
"Laditka, James N",1990,"Semiology, ideology, praxis: Responsible authority in the composition classroom",JAC: Journal of Advanced Composition,10,2,357-374,357,374,,,,"authority, responsibility, semiotics, semiology, ideology, praxis, classroom, pedagogy, value, status quo",,"*JAC: Journal of Advanced Composition 10.2*, 357-374"
"Sullivan, Dale L",1990,Political-ethical implications of defining technical communication as a practice,JAC: Journal of Advanced Composition,10,2,375-386,375,386,,,,"technical-communication, pedagogy, political, ethical, praxis, skill, military-industrial, cultural critique, apprenticeship, implication",,"*JAC: Journal of Advanced Composition 10.2*, 375-386"
"Neel, Jasper",1990,"'Where have you come from, Reb Derissa, and where are you going?': Gary Olson's interview with Jacques Derrida ['Jacques Derrida on rhetoric and composition: A conversation']",JAC: Journal of Advanced Composition,10,2,387-392,387,392,,,,"Derrida, rhetoric, pedagogy, deconstruction",,"*JAC: Journal of Advanced Composition 10.2*, 387-392"
"Crowley, Sharon",1990,Jacques Derrida on teaching and rhetoric: A response ['Jacques Derrida on rhetoric and composition: A conversation],JAC: Journal of Advanced Composition,10,2,393-395,393,395,,,,"Derrida, rhetoric, pedagogy, deconstruction",,"*JAC: Journal of Advanced Composition 10.2*, 393-395"
"Haswell, Richard H",1990,No title: A response to Sam Meyer,JAC: Journal of Advanced Composition,10,2,396-399,396,399,,,,"title, genre, situational, development, data",,"*JAC: Journal of Advanced Composition 10.2*, 396-399"
"Meyer, Sam",1990,Let's continue to take it from the top: A response to Richard Haswell,JAC: Journal of Advanced Composition,10,2,400-402,400,402,,,,"title, genre, situational",,"*JAC: Journal of Advanced Composition 10.2*, 400-402"
"Olson, Gary A.; Lester Faigley; Noam Chomsky",1991,"Language, politics, and composition: A conversation with Noam Chomsky [interview]",JAC: Journal of Advanced Composition,11,1,1-36,1,36,,,,"language, linguistics, political, pedagogy, Noam Chomsky",,"*JAC: Journal of Advanced Composition 11.1*, 1-36"
"Petraglia, Joseph",1991,Interrupting the conversation: The constructionist dialogue in composition,JAC: Journal of Advanced Composition,11,1,37-56,37,56,,,,"constructivist, dialogue, discourse, epistemological, constructionist",,"*JAC: Journal of Advanced Composition 11.1*, 37-56"
"Miller, Thomas P",1991,Treating professional writing as social praxis,JAC: Journal of Advanced Composition,11,1,57-72,57,72,,,,"technical-communication, social, praxis, ethical, political, classical-rhetoric, social",,"*JAC: Journal of Advanced Composition 11.1*, 57-72"
"Chapman, David W",1991,Forming and meaning: Writing the counterpoint essay,JAC: Journal of Advanced Composition,11,1,73-82,73,82,,,,"arrangement, organic, formulaic, functional, content, essay, counterpoint, argumentation, form-meaning",,"*JAC: Journal of Advanced Composition 11.1*, 73-82"
"Elbow, Peter",1991,"Some thoughts on expressive discourse: A review essay [book review] [of Jeanette Harris, Expressive Discourse]",JAC: Journal of Advanced Composition,11,1,83-94,83,94,,,,"expressive, mode, discourse",,"*JAC: Journal of Advanced Composition 11.1*, 83-94"
"McLeod, Susan H",1991,The affective domain and the writing process: Working definitions,JAC: Journal of Advanced Composition,11,1,95-106,95,106,,,,"process, affective, emotion, process",,"*JAC: Journal of Advanced Composition 11.1*, 95-106"
"Kaufer, David S.; Cheryl Geisler",1991,A scheme for representing written argument,JAC: Journal of Advanced Composition,11,1,107-122,107,122,,,,"argumentation, measurement, representation, formalism, sources, citation-system",,"*JAC: Journal of Advanced Composition 11.1*, 107-122"
"Boiarsky, Carolyn",1991,"Fluency, fluidity, and word processing",JAC: Journal of Advanced Composition,11,1,123-134,123,134,,,,"word-processing, computer, improvement, review-of-scholarship, arrangement, data, fluency, fluidity, word-processing",,"*JAC: Journal of Advanced Composition 11.1*, 123-134"
"Horning, Alice",1991,Readable writing: The role of cohesion and redundancy,JAC: Journal of Advanced Composition,11,1,135-146,135,146,,,,"readability, cohesion, redundancy, text-analysis, review-of-scholarship, writer-reader",,"*JAC: Journal of Advanced Composition 11.1*, 135-146"
"Ewald, Helen Rothschild",1991,What we could tell advanced student writers about audience,JAC: Journal of Advanced Composition,11,1,147-158,147,158,,,,"audience, advanced, pedagogy, reading-theory, writer-reader",,"*JAC: Journal of Advanced Composition 11.1*, 147-158"
"Daiker, Donald; Nedra Grogan",1991,Selecting and using sample papers in holistic evaluation,JAC: Journal of Advanced Composition,11,1,159-172,159,172,,,,"evaluation, holistic, anchor-paper, range finder, sample, research-method",,"*JAC: Journal of Advanced Composition 11.1*, 159-172"
"Flynn, Elizabeth A",1991,Politicizing the composing process and women's ways of interacting: A response to 'A Conversation with Mary Belenky',JAC: Journal of Advanced Composition,11,1,173-178,173,178,,,,"political, composing, process, gender, women, interaction, Belenky, process",,"*JAC: Journal of Advanced Composition 11.1*, 173-178"
"Cooper, Marilyn M",1991,Dueling with dualism: A response to interviews with Mary Field Belenky and Gayatri Chakravorty Spivak,JAC: Journal of Advanced Composition,11,1,179-184,179,184,,,,"dualism, Belenky, Spivak",,"*JAC: Journal of Advanced Composition 11.1*, 179-184"
"Kent, Thomas",1991,Talking differently: A response to Gayatri Chakravorty Spivak,JAC: Journal of Advanced Composition,11,1,185-190,185,190,,,,"difference, cultural, Spivak",,"*JAC: Journal of Advanced Composition 11.1*, 185-190"
"Clifford, John",1991,Toward a productive crisis: A response to Gayatri Spivak,JAC: Journal of Advanced Composition,11,1,191-196,191,196,,,,"cultural, rhetoric, Spivak, crisis, productive",,"*JAC: Journal of Advanced Composition 11.1*, 191-196"
"Olson, Gary A.; Clifford Geertz",1991,The social scientist as author: Clifford Geertz on ethnography and social construction [interview],JAC: Journal of Advanced Composition,11,2,245-268,245,268,,,,"social-science, authorship, Clifford Geertz, ethnography, social, constructivism, lit-crit, scientist, social",,"*JAC: Journal of Advanced Composition 11.2*, 245-268"
"Sledd, James",1991,Why the Wyoming Resolution had to be emasculated: A history and a Quixotism,JAC: Journal of Advanced Composition,11,2,269-282,269,282,,http://www.jacweb.org/archives.htm,,"Wyoming resolution, history, part-time, boss compositionist, political activism, resolution",,"*JAC: Journal of Advanced Composition 11.2*, 269-282"
"Sullivan, Patricia A",1991,Writing in the graduate curriculum: Literary criticism as composition,JAC: Journal of Advanced Composition,11,2,283-300,283,300,,http://www.jacweb.org/archives.htm,,"bridging, lit-crit, graduate, curriculum, theory-practice, graduate, curriculum, change, regression",,"*JAC: Journal of Advanced Composition 11.2*, 283-300"
"Kumar, Amitava",1991,Brecht and his friends: Writing as critique,JAC: Journal of Advanced Composition,11,2,301-314,301,314,,http://www.jacweb.org/archives.htm,,"composing, critique, Berthold Brecht, lit-crit, journal-writing, sample, cognitive, collaboration, intertextuality",,"*JAC: Journal of Advanced Composition 11.2*, 301-314"
"Bizzell, Patricia",1991,Professing literacy: A review essay [book review],JAC: Journal of Advanced Composition,11,2,315-322,315,322,,http://www.jacweb.org/archives.htm,,"literacy, English-profession",,"*JAC: Journal of Advanced Composition 11.2*, 315-322"
"Hesse, Douglas",1991,The recent rise of literary nonfiction: A cautionary essay,JAC: Journal of Advanced Composition,11,2,323-334,323,334,,http://www.jacweb.org/archives.htm,,"essay, creative nonfiction, history, empowerment, self-evaluation, cautionary",,"*JAC: Journal of Advanced Composition 11.2*, 323-334"
"Boyd, Richard",1991,Imitate me; don't imitate me: Mimeticism in David Bartholomae's 'Inventing the University',JAC: Journal of Advanced Composition,11,2,335-346,335,346,,http://www.jacweb.org/archives.htm,,"imitation, mimetic, mimeticism, Bartholomae, Inventing the University, Rene Girard, anthropological",,"*JAC: Journal of Advanced Composition 11.2*, 335-346"
"Huckin, Thomas; Linda Flower",1991,Reading for points and purposes,JAC: Journal of Advanced Composition,11,2,347-362,347,362,,http://www.jacweb.org/archives.htm,,"read-write, aim, point-driven, purpose-driven",,"*JAC: Journal of Advanced Composition 11.2*, 347-362"
"Briggs, John C",1991,"Saving pluralism from itself: Peter Elbow, Kenneth Burke, and the idea of magic",JAC: Journal of Advanced Composition,11,2,363-376,363,376,,http://www.jacweb.org/archives.htm,,"pluralism, Peter Elbow, Kenneth Burke, magic, fact",,"*JAC: Journal of Advanced Composition 11.2*, 363-376"
"Arrington, Phillip",1991,The agon over what 'composition research' means,JAC: Journal of Advanced Composition,11,2,377-394,377,394,,http://www.jacweb.org/archives.htm,,"research-method, inquiry-method, teacher-research, metanalysis, epistemological",,"*JAC: Journal of Advanced Composition 11.2*, 377-394"
"Brand, Alice",1991,"Social cognition, emotions, and the psychology of writing",JAC: Journal of Advanced Composition,11,2,395-408,395,408,,http://www.jacweb.org/archives.htm,,"composing, psychology, cognitive, social, emotion, attitude, phenomenological, history, social",,"*JAC: Journal of Advanced Composition 11.2*, 395-408"
"Roberts, Patricia",1991,Habermas' varieties of communicative action: Controversy without combat,JAC: Journal of Advanced Composition,11,2,409-424,409,424,,http://www.jacweb.org/archives.htm,,"Habermas, communicative action, persuasive, argumentation, Frankfurt School, critical social-theory, controversy, competitive, combative, agonistic, aggressive",,"*JAC: Journal of Advanced Composition 11.2*, 409-424"
"de Beaugrande, Robert",1991,Language and the facilitation of authority: The discourse of Noam Chomsky,JAC: Journal of Advanced Composition,11,2,425-442,425,442,,,,"language, authority, Noam Chomsky, facilitation, scientism",,"*JAC: Journal of Advanced Composition 11.2*, 425-442"
"Sledd, James",1991,"Response to 'Language, Politics, and Composition: A Conversation with Noam Chomsky'",JAC: Journal of Advanced Composition,11,2,443-446,443,446,,,,"language, political, Noam Chomsky, crisis, thought control, prescriptivist, theory",,"*JAC: Journal of Advanced Composition 11.2*, 443-446"
"Fleckenstein, Kristie S",1991,Defining affect in relation to cognition: A response to Susan McLeod ['The affective domain and the writing process: Working definitions'],JAC: Journal of Advanced Composition,11,2,447-452,447,452,,,,"cognitive, emotion, cognitive, Susan McLeod, process",,"*JAC: Journal of Advanced Composition 11.2*, 447-452"
"McLeod, Susan H",1991,Reply to Kristie Fleckenstein,JAC: Journal of Advanced Composition,11,2,453-454,453,454,,,,"emotion, cognitive",,"*JAC: Journal of Advanced Composition 11.2*, 453-454"
"Olson, Gary A.; Paulo Freire",1992,"History, praxis, and change: Paulo Freire and the politics of literacy [interview]",JAC: Journal of Advanced Composition,12,1,1-14,1,14,,http://www.jacweb.org/archives.htm,,"Freire, political, literacy, historical, praxis, change",,"*JAC: Journal of Advanced Composition 12.1*, 1-14"
"Giroux, Henry A",1992,Paulo Freire and the politics of postcolonialism,JAC: Journal of Advanced Composition,12,1,15-26,15,26,,http://www.jacweb.org/archives.htm,,"Freire, political, postcolonialism, border-crossing, critical consciousness, critical literacy",,"*JAC: Journal of Advanced Composition 12.1*, 15-26"
"Harris, Joseph",1992,The other reader,JAC: Journal of Advanced Composition,12,1,27-38,27,38,,http://www.jacweb.org/archives.htm,,"writer-reader, audience, alterity, advertising",,"*JAC: Journal of Advanced Composition 12.1*, 27-38"
"Varnum, Robin",1992,The history of composition: Reclaiming our lost generations,JAC: Journal of Advanced Composition,12,1,39-56,39,56,,http://www.jacweb.org/archives.htm,,"English-profession, history, current-traditional, professional continuance",,"*JAC: Journal of Advanced Composition 12.1*, 39-56"
"Kent, Thomas",1992,Externalism and the production of discourse,JAC: Journal of Advanced Composition,12,1,57-74,57,74,,http://www.jacweb.org/archives.htm,,"discourse, production, process, externalism, internalism, Cartesian",,"*JAC: Journal of Advanced Composition 12.1*, 57-74"
"Tingle, Nick",1992,Self and liberatory pedagogy: Transforming narcissism,JAC: Journal of Advanced Composition,12,1,75-90,75,90,,http://www.jacweb.org/archives.htm,,"liberatory, self, narcissism, transformative, psychology, ideology, self-critique, pedagogy, transformative",,"*JAC: Journal of Advanced Composition 12.1*, 75-90"
"Crosswhite, James",1992,Authorship and individuality: Heideggerian angles,JAC: Journal of Advanced Composition,12,1,91-110,91,110,,http://www.jacweb.org/archives.htm,,"authorship, individuality, Heidegger, social, academy",,"*JAC: Journal of Advanced Composition 12.1*, 91-110"
"Corbett, Edward P.J",1992,The shame of the current standards for promotion and tenure,JAC: Journal of Advanced Composition,12,1,111-116,111,116,,http://www.jacweb.org/archives.htm,,"department, English-profession, promotion, tenure, service, shame",,"*JAC: Journal of Advanced Composition 12.1*, 111-116"
"Ritchie, Joy S",1992,Resistance to reading: Another view of the minefield,JAC: Journal of Advanced Composition,12,1,117-136,117,136,,http://www.jacweb.org/archives.htm,,"resistance, reading, academic, teacher-student, radical pedagogy, ethnography, institution",,"*JAC: Journal of Advanced Composition 12.1*, 117-136"
"Otte, George",1992,Why read what?: The politics of composition anthologies,JAC: Journal of Advanced Composition,12,1,137-150,137,150,,http://www.jacweb.org/archives.htm,,"reading, textbook, anthology, political, accessibility, student-opinion, institutionalization",,"*JAC: Journal of Advanced Composition 12.1*, 137-150"
"Greene, Stuart",1992,Mining texts in reading to write,JAC: Journal of Advanced Composition,12,1,151-170,151,170,,http://www.jacweb.org/archives.htm,"In this article, Green proposes strategies for connecting reading and writing by discussing ways in which writers use the knowledge and source information derived from reading in order to enhance their written compositions. Green uses the """"mining"""" metaphor in order to provide an illustrative means for understanding how writers read purposefully with the intent of expanding their discourse knowledge in order to better achieve their goals in composing. More specifically, Green explores how this kind of reading is fueled by three key strategies that can inform the reading-to-write process: (1) reconstructing context; (2) inferring or imposing structure; and (3) seeing choices in language. Green uses examples from think-aloud protocols to suggest that when students read with a sense of authorship, the source text enables them to structure and develop their own ideas and goals in composing. (Etaf Hatu)","read-write, read-to-write, pedagogy, text-analysis, contextual, language choice",,"*JAC: Journal of Advanced Composition 12.1*, 151-170"
"Killingsworth, M. Jimmie",1992,"Realism, human action, and instrumental discourse",JAC: Journal of Advanced Composition,12,1,171-200,171,200,,http://www.jacweb.org/archives.htm,,"discourse, instrumental, realism, action",,"*JAC: Journal of Advanced Composition 12.1*, 171-200"
"Brodkey, Linda",1992,The somewhat unitary world of Clifford Geertz,JAC: Journal of Advanced Composition,12,1,201-207,201,207,,http://www.jacweb.org/archives.htm,,"ethnography, cultural, Geertz",,"*JAC: Journal of Advanced Composition 12.1*, 201-207"
"Ede, Lisa",1992,Clifford Geertz on writing and rhetoric,JAC: Journal of Advanced Composition,12,1,208-211,208,211,,http://www.jacweb.org/archives.htm,,"rhetoric, composing, Clifford Geertz",,"*JAC: Journal of Advanced Composition 12.1*, 208-211"
"Wallace, M. Elizabeth",1992,"Work with us, James Sledd: A response [to 'Why the Wyoming Resolution had to be emasculated: A history and a Quixotism'",JAC: Journal of Advanced Composition,12,1,212-213,212,213,,http://www.jacweb.org/archives.htm,,"Wyoming resolution, history, part-time, boss compositionist, resolution",,"*JAC: Journal of Advanced Composition 12.1*, 212-213"
"Sledd, James",1992,The nasty old man replies [to M. Elizabeth Wallace],JAC: Journal of Advanced Composition,12,1,214-216,214,216,,http://www.jacweb.org/archives.htm,,"Wyoming resolution, history, part-time, boss compositionist",,"*JAC: Journal of Advanced Composition 12.1*, 214-216"
"Olson, Gary A.; Stanley Fish",1992,Fish tales: A conversation with 'the contemporary sophist' [interview],JAC: Journal of Advanced Composition,12,2,253-278,253,278,,http://www.jacweb.org/archives.htm,,"Stanley Fish, discourse-community, sophist, John Milton, theory, constructivist",,"*JAC: Journal of Advanced Composition 12.2*, 253-278"
"Stewart, Donald C",1992,"Cognitive psychologists, social constructionists, and three nineteenth-century advocates of authentic voice",JAC: Journal of Advanced Composition,12,2,279-290,279,290,,http://www.jacweb.org/archives.htm,,"voice, authentic, history, constructivism, cognitive, psychology, 19th-century, authentic, social, individuality, constructionist, social",,"*JAC: Journal of Advanced Composition 12.2*, 279-290"
"Fox, Thomas",1992,Repositioning the profession: Teaching writing to African American students,JAC: Journal of Advanced Composition,12,2,291-304,291,304,,http://www.jacweb.org/archives.htm,,"English-profession, pedagogy, African-Am, needs-analysis, self, authenticity, inclusion, literacy",,"*JAC: Journal of Advanced Composition 12.2*, 291-304"
"Neel, Jasper",1992,"Dichotomy, consubstantiality, technical writing, literary theory: The double orthodox curse",JAC: Journal of Advanced Composition,12,2,305-320,305,320,,http://www.jacweb.org/archives.htm,,"techcom, lit-crit, theory, bridging, sophistic, software documentation, classical-rhetoric, dichotomy, orthodox",,"*JAC: Journal of Advanced Composition 12.2*, 305-320"
"Edelstein, Arnold; Jeffrey Carroll",1992,The annotated space: A dialogue on the marriage of composition and literary theories,JAC: Journal of Advanced Composition,12,2,321-336,321,336,,http://www.jacweb.org/archives.htm,,"read-write, lit-crit, theory, bridging",,"*JAC: Journal of Advanced Composition 12.2*, 321-336"
"Winsor, DorothyA",1992,What counts as writing? An argument from engineers' practice,JAC: Journal of Advanced Composition,12,2,337-348,337,348,,http://www.jacweb.org/archives.htm,,"technical-writing, engineering, academy-workplace",,"*JAC: Journal of Advanced Composition 12.2*, 337-348"
"Covino, William A",1992,Magic and/as rhetoric: Outlines of a history of phantasy,JAC: Journal of Advanced Composition,12,2,349-358,349,358,,http://www.jacweb.org/archives.htm,,"rhetoric, magic, Renaissance, history, belief, persuasion, community, current-traditional, participatory, exploratory",,"*JAC: Journal of Advanced Composition 12.2*, 349-358"
"Reiff, John; Judith Kirscht",1992,Inquiry as a human process: Interviews with researchers across the disciplines,JAC: Journal of Advanced Composition,12,2,359-372,359,372,,http://www.jacweb.org/archives.htm,,"disciplinary, academic, inquiry, process, WAC, inquiry",,"*JAC: Journal of Advanced Composition 12.2*, 359-372"
"McLeod, Susan H",1992,"Evaluating writing programs: Paradigms, problems, possibilities",JAC: Journal of Advanced Composition,12,2,373-382,373,382,,http://www.jacweb.org/archives.htm,,"program-validation, ethnographic, paradigm, empirical, research-method, paradigm",,"*JAC: Journal of Advanced Composition 12.2*, 373-382"
"Moore, Sandy; Michael Kleine",1992,Toward an ethics of teaching writing in a hazardous context--the American university,JAC: Journal of Advanced Composition,12,2,383-394,383,394,,http://www.jacweb.org/archives.htm,,"pedagogy, academy, ethical, collaborative, teacher-student, fiduciary, trust, case-study, ethics",,"*JAC: Journal of Advanced Composition 12.2*, 383-394"
"Fontaine, Sheryl I.; Susan Hunter",1992,Rendering the 'text' of composition,JAC: Journal of Advanced Composition,12,2,395-406,395,406,,http://www.jacweb.org/archives.htm,,"composing, textuality, English-profession, composition-studies, orality, constructivist, rendering",,"*JAC: Journal of Advanced Composition 12.2*, 395-406"
"Knoblauch, C.H",1992,A response to Gary Olson's interview with Paulo Freire,JAC: Journal of Advanced Composition,12,2,407-413,407,413,,http://www.jacweb.org/archives.htm,,"Freire, liberatory",,"*JAC: Journal of Advanced Composition 12.2*, 407-413"
"Berlin, JamesA",1992,Freirean pedagogy in the U.S.: A response,JAC: Journal of Advanced Composition,12,2,414-420,414,420,,http://www.jacweb.org/archives.htm,,"Freire, pedagogy, USA, banking-model, teacher-student, learning-theory, pedagogy",,"*JAC: Journal of Advanced Composition 12.2*, 414-420"
"Lauer, Janice M",1992,A note to JAC readers,JAC: Journal of Advanced Composition,12,2,421,421,421,,http://www.jacweb.org/Archived_volumes/Text_articles/V12_I2_Lauer.htm,,"empirical, research-method, trend, multimodal, Composition Research: Empirical Designs",,"*JAC: Journal of Advanced Composition 12.2*, 421"
"Arrington, Phillip",1992,The agon continues: A reply to Janice Lauer,JAC: Journal of Advanced Composition,12,2,422-423,422,423,,http://www.jacweb.org/archives.htm,,research-method,,"*JAC: Journal of Advanced Composition 12.2*, 422-423"
"Gross, Alan G",1992,Thomas Kent and Donald Davidson: The peril of communication,JAC: Journal of Advanced Composition,12,2,424-426,424,426,,http://www.jacweb.org/archives.htm,,"communication, constructivist, community",,"*JAC: Journal of Advanced Composition 12.2*, 424-426"
"Kent, Thomas",1992,The hope of communication [reply to Alan G. Gross],JAC: Journal of Advanced Composition,12,2,427-430,427,430,,http://www.jacweb.org/archives.htm,,communication,,"*JAC: Journal of Advanced Composition 12.2*, 427-430"
"Stewart, Donald; edited by W. Ross Winterowd",1992,Letters to Norma [Winterowd] and Ross [Winterowd] from Don [Stewart],JAC: Journal of Advanced Composition,12,2,431-440,431,440,,http://www.jacweb.org/Archived_volumes/Text_articles/V12_I2_Winterowd.htm,,"Donald Stewart, letter-writing, cancer, English-profession",,"*JAC: Journal of Advanced Composition 12.2*, 431-440"
"Horner, Winifred Bryan",1992,Don Stewart: A personal memoir,JAC: Journal of Advanced Composition,12,2,441-442,441,442,,http://www.jacweb.org/archives.htm,,"Donald Stewart, teacher-story",,"*JAC: Journal of Advanced Composition 12.2*, 441-442"
"Smit, David",1992,Donald C. Stewart: A colleague,JAC: Journal of Advanced Composition,12,2,443-446,443,446,,http://www.jacweb.org/archives.htm,,"Donald Stewart, teacher-story",,"*JAC: Journal of Advanced Composition 12.2*, 443-446"
"Kent, Thomas; Donald Davidson",1993,"Language philosophy, writing, and reading: A conversation with Donald Davidson [interview]",JAC: Journal of Advanced Composition,13,1,1-20,1,20,,http://www.jacweb.org/archives.htm,,"Donald Davidson, philosophy, language-theory, anti-foundationalist, externalism, interpretive, philosophy",,"*JAC: Journal of Advanced Composition 13.1*, 1-20"
"Dasenbrock, Reed Way",1993,The myths of the subjective and of the subject in composition studies,JAC: Journal of Advanced Composition,13,1,21-32,21,32,,http://www.jacweb.org/archives.htm,,"subjectivity, myth, composition-studies, self, individualism, constructivist, fashionable, Donald Davidson",,"*JAC: Journal of Advanced Composition 13.1*, 21-32"
"Trimbur, John",1993,Articulation theory and the problem of determination: A reading of Lives on the Boundary,JAC: Journal of Advanced Composition,13,1,33-50,33,50,,http://www.jacweb.org/archives.htm,,"theory, discourse, articulation, cultural, narrativity, determinism, Mike Rose, marginality, Lives on the Boundary",,"*JAC: Journal of Advanced Composition 13.1*, 33-50"
"Elbow, Peter",1993,The uses of binary thinking,JAC: Journal of Advanced Composition,13,1,51-78,51,78,,http://www.jacweb.org/archives.htm,,"binary, reasoning, oppositional, deconstruction, Jonathan Culler, Paul de Man, difference",,"*JAC: Journal of Advanced Composition 13.1*, 51-78"
"Wood, Robert G",1993,The dialectic suppression of feminist thought in radical pedagogy,JAC: Journal of Advanced Composition,13,1,79-96,79,96,,http://www.jacweb.org/archives.htm,,"radical pedagogy, critique, feminism, suppression, phallogocentricism, pluralism, dialectical, pedagogy",,"*JAC: Journal of Advanced Composition 13.1*, 79-96"
"Spellmeyer, Kurt",1993,Writing and truth: The decline of expertise and the rebirth of philosophy,JAC: Journal of Advanced Composition,13,1,97-110,97,110,,http://www.jacweb.org/archives.htm,,"truth, expertise, philosophy, Plato, epistemological, decline, expertise, philosophy, rebirth",,"*JAC: Journal of Advanced Composition 13.1*, 97-110"
"Couture, Barbara",1993,Against relativism: Restoring truth in writing,JAC: Journal of Advanced Composition,13,1,111-134,111,134,,http://www.jacweb.org/archives.htm,,"truth, Jasper Neel, Barbara H. Smith, relativism, pragmatism",,"*JAC: Journal of Advanced Composition 13.1*, 111-134"
"Bleich, David",1993,Feminist philosophy and some humanists' attitudes toward the teaching of writing,JAC: Journal of Advanced Composition,13,1,135-154,135,154,,http://www.jacweb.org/archives.htm,,"feminism, humanism, pedagogy, critique, philosophy",,"*JAC: Journal of Advanced Composition 13.1*, 135-154"
"Walters, Frank D",1993,Isocrates and the epistemic return: Individual and community in classical and modern rhetoric,JAC: Journal of Advanced Composition,13,1,155-172,155,172,,http://www.jacweb.org/archives.htm,,"epistemic, Isocrates, individual, community, private-public, constructivism, social-epistemic, metacognition, classical-rhetoric, contemporary",,"*JAC: Journal of Advanced Composition 13.1*, 155-172"
"Russell, David R",1993,"Vygotsky, Dewey, and externalism: Beyond the student/discipline dichotomy",JAC: Journal of Advanced Composition,13,1,173-198,173,198,,http://www.jacweb.org/archives.htm,,"externalism, Vygotsky, Dewey, disciplinary, academic, Hegel, dualism, dichotomy, internalism",,"*JAC: Journal of Advanced Composition 13.1*, 173-198"
"Sebberson, David",1993,"Composition, philosophy, and rhetoric: The 'problem of power'",JAC: Journal of Advanced Composition,13,1,199-216,199,216,,http://www.jacweb.org/archives.htm,,"rhetoric, power, philosophy, pedagogy, Louise Phelps, holomovement, flux, Habermas, scientism, Aristotle, The Rhetoric, postmodernism, philosophy",,"*JAC: Journal of Advanced Composition 13.1*, 199-216"
"Strain, Margaret M",1993,Toward a hermeneutic model of composition history: Robert Carlsen's 'The State of the Profession 1961-1962',JAC: Journal of Advanced Composition,13,1,217-240,217,240,,http://www.jacweb.org/archives.htm,,"history, English-profession, hermeneutic, G. Robert Carlsen, 1960s, NCTE",,"*JAC: Journal of Advanced Composition 13.1*, 217-240"
"Bizzell, Patricia",1993,A response to 'Fish Tales: A Conversation with the Contemporary Sophist',JAC: Journal of Advanced Composition,13,1,241-244,241,244,,http://www.jacweb.org/archives.htm,,"Stanley Fish, deconstructivist, interpretive, sophism",,"*JAC: Journal of Advanced Composition 13.1*, 241-244"
"Trimbur, John",1993,'Fish tales' and the politics of anti-professionalism,JAC: Journal of Advanced Composition,13,1,245-249,245,249,,http://www.jacweb.org/archives.htm,,"Stanley Fish, political, professionalism, anti-professionalism",,"*JAC: Journal of Advanced Composition 13.1*, 245-249"
"Gale, Fredric G",1993,Don't know much about automobiles: Fish's anti-theory theory,JAC: Journal of Advanced Composition,13,1,250-251,250,251,,http://www.jacweb.org/archives.htm,,"Stanley Fish, theory, deconstruction",,"*JAC: Journal of Advanced Composition 13.1*, 250-251"
"Lauer, Janice M",1993,A response to 'The History of Composition: Reclaiming Our Lost Generations' [by Robin Varum],JAC: Journal of Advanced Composition,13,1,252-253,252,253,,http://www.jacweb.org/archives.htm,,"composition-studies, history",,"*JAC: Journal of Advanced Composition 13.1*, 252-253"
"Varnum, Robin",1993,A reply to Janice Lauer,JAC: Journal of Advanced Composition,13,1,254-256,254,256,,http://www.jacweb.org/archives.htm,,"composition-studies, history",,"*JAC: Journal of Advanced Composition 13.1*, 254-256"
"Olson, Gary A.; Stephen Toulmin",1993,"Literary theory, philosophy of science, and persuasive discourse: Thoughts from a neo-premodernist [interview]",JAC: Journal of Advanced Composition,13,2,283-310,283,310,,http://www.jacweb.org/archives.htm,,"lit-crit, science, philosophy, discourse, persuasion, rhetoric, modernism, Stephen Toulmin, persuasive, philosophy",,"*JAC: Journal of Advanced Composition 13.2*, 283-310"
"Miller, J. Hillis",1993,Nietzsche in Basel: Writing reading,JAC: Journal of Advanced Composition,13,2,311-328,311,328,,http://www.jacweb.org/archives.htm,,"read-write, Nietzsche, department, bridging, composing",,"*JAC: Journal of Advanced Composition 13.2*, 311-328"
"McKoski, Nancy",1993,A postmodern critique of the modern projects of Fredric Jameson and Patricia Bizzell,JAC: Journal of Advanced Composition,13,2,329-344,329,344,,http://www.jacweb.org/archives.htm,,"postmodernism, Fredric Jameson, Patricia Bizzell, community, pluralism, Marxism, liberalism, conservatism, contemporary",,"*JAC: Journal of Advanced Composition 13.2*, 329-344"
"Murphy, Michael",1993,"After progressivism: Modern composition, institutional service, and cultural studies",JAC: Journal of Advanced Composition,13,2,345-364,345,364,,http://www.jacweb.org/archives.htm,,"progressivism, pedagogy, service-course, cultural-studies, history, English-profession, contemporary",,"*JAC: Journal of Advanced Composition 13.2*, 345-364"
